family,MAE_Trad,RMSE_Trad,MAPE_Trad,MAE_ML,RMSE_ML,MAPE_ML,MAE_Better_%,RMSE_Better_%,MAPE_Better_%
BEVERAGES,99826.20142727606,152188.4736984576,11.136889398816923,51791.929606986894,75655.24006095207,6.015036495918383,48.11790004379,50.28845600301278,45.98997726818259
BREAD/BAKERY,9803.048872983873,13424.06168410538,5.422537486742949,12967.753362925765,17573.802064151518,6.951398611335255,-32.28285945470976,-30.91270345516659,-28.19456994682054
CLEANING,31293.92481037292,42438.932716897485,7.443776015617471,25180.68532751092,32721.630670836083,5.945445698795901,19.534908196736186,22.897140488625816,20.128632480047585
DAIRY,54624.627118644064,69132.83633885013,19.387999434384163,17750.994144104807,24059.74888700754,6.282124903489077,67.50367905386365,65.19779867112607,67.59786936888457
DELI,6457.852029167717,8922.494678304809,6.275877124301729,8091.61903093013,10821.457283693393,7.842142576101632,-25.29892283662269,-21.28286621460187,-24.956917109401974
GROCERY I,118905.06558698555,186807.24548618155,7.641640318035766,39235.114855895205,52030.71479214783,2.764195793794214,67.00299128367028,72.14737862188721,63.82719313194875
MEATS,9798.164561880227,15795.551036735895,8.206675757190185,9288.22426265546,13112.91365781248,6.985258326595925,5.204447179920721,16.983499801205888,14.883217842792543
PERSONAL CARE,10336.788545473035,15163.890491016997,9.936364608299453,10722.992484716158,14121.195130017402,10.303720422169002,-3.736208180559718,6.876173114131108,-3.6970846818836702
POULTRY,10030.733255211382,13977.379083228074,7.620005626382998,10104.397450436245,13440.144851077148,7.203036227878799,-0.7343849482448478,3.8435977800414043,5.472035310059503
PRODUCE,72824.02950230845,111994.0587119174,852.2252878586506,36895.9320508821,55337.5025628895,455.1553151983708,49.33549777039935,50.58889444730787,46.59213688178396
